* Measurement data measured by REW V5.20.13
* Source: In 1-2 (MOTU M Series), LINE_IN (Ö÷Òô), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 2026-8-4 10:33:04
* REW Settings:
153.076184 78.294 28.3044
153.442395 78.273 28.3587
153.808606 78.251 28.4161
154.174817 78.228 28.4773
154.541028 78.205 28.5425
154.907239 78.182 28.6116
155.273450 78.160 28.6841
155.639661 78.139 28.7589
156.005872 78.120 28.8349
156.372083 78.103 28.9104
156.738294 78.087 28.9837
157.104505 78.074 29.0534
157.470716 78.063 29.1182
157.836927 78.052 29.1774
158.203138 78.043 29.2313
158.569349 78.035 29.2805
158.935560 78.027 29.3268
159.301771 78.018 29.3721
159.667982 78.009 29.4187
160.034193 77.999 29.4683
160.400404 77.989 29.5226
160.766615 77.978 29.5822
161.132826 77.966 29.6473
161.499037 77.953 29.7173
161.865248 77.940 29.7911
162.231458 77.927 29.8676
162.597669 77.912 29.9459
162.963880 77.897 30.0252
163.330091 77.880 30.1049
163.696302 77.863 30.1848
164.062513 77.846 30.2648
164.428724 77.827 30.3446
164.794935 77.808 30.4240
165.161146 77.789 30.5022
165.527357 77.770 30.5786
165.893568 77.752 30.6523
166.259779 77.733 30.7224
166.625990 77.716 30.7883
166.992201 77.699 30.8495
167.358412 77.682 30.9057
167.724623 77.667 30.9571
168.090834 77.652 31.0038
168.457045 77.637 31.0464
168.823256 77.624 31.0854
169.189467 77.611 31.1211
169.555678 77.598 31.1541
169.921889 77.587 31.1849
170.288100 77.575 31.2143
170.654311 77.564 31.2427
171.020522 77.552 31.2712
171.386733 77.541 31.3009
171.752944 77.529 31.3330
172.119155 77.517 31.3690
172.485366 77.504 31.4101
172.851577 77.491 31.4577
173.217788 77.478 31.5129
173.583998 77.464 31.5764
173.950209 77.449 31.6485
174.316420 77.435 31.7290
174.682631 77.421 31.8172
175.048842 77.407 31.9119
175.415053 77.393 32.0117
175.781264 77.380 32.1151
176.147475 77.368 32.2204
176.513686 77.356 32.3258
176.879897 77.345 32.4301
177.246108 77.334 32.5320
177.612319 77.323 32.6306
177.978530 77.313 32.7250
178.344741 77.302 32.8153
178.710952 77.292 32.9014
179.077163 77.282 32.9840
179.443374 77.271 33.0637
179.809585 77.260 33.1417
180.175796 77.249 33.2191
180.542007 77.238 33.2970
180.908218 77.227 33.3764
181.274429 77.216 33.4580
181.640640 77.205 33.5422
182.006851 77.195 33.6291
182.373062 77.185 33.7182
182.739273 77.175 33.8092
183.105484 77.166 33.9012
183.471695 77.158 33.9938
183.837906 77.150 34.0860
184.204117 77.142 34.1775
184.570327 77.135 34.2678
184.936538 77.128 34.3566
185.302749 77.120 34.4440
185.668960 77.113 34.5301
186.035171 77.105 34.6152
186.401382 77.097 34.6998
186.767593 77.088 34.7843
187.133804 77.079 34.8693
187.500015 77.070 34.9551
187.866226 77.061 35.0420
188.232437 77.052 35.1303
188.598648 77.042 35.2199
188.964859 77.033 35.3105
189.331070 77.024 35.4017
189.697281 77.015 35.4931
190.063492 77.006 35.5839
190.429703 76.998 35.6737
190.795914 76.989 35.7619
191.162125 76.981 35.8482
191.528336 76.972 35.9324
191.894547 76.963 36.0145
192.260758 76.954 36.0948
192.626969 76.945 36.1736
192.993180 76.935 36.2513
193.359391 76.925 36.3286
193.725602 76.915 36.4059
194.091813 76.904 36.4836
194.458024 76.893 36.5617
194.824235 76.882 36.6405
195.190446 76.872 36.7196
195.556657 76.861 36.7990
195.922867 76.851 36.8780
196.289078 76.841 36.9565
196.655289 76.831 37.0341
197.021500 76.823 37.1104
197.387711 76.814 37.1852
197.753922 76.806 37.2586
198.120133 76.799 37.3305
198.486344 76.793 37.4012
198.852555 76.787 37.4707
199.218766 76.781 37.5394
199.584977 76.777 37.6075
199.951188 76.772 37.6752
200.317399 76.768 37.7429
200.683610 76.765 37.8107
201.049821 76.761 37.8789
201.416032 76.758 37.9476
201.782243 76.755 38.0171
202.148454 76.751 38.0875
202.514665 76.748 38.1591
202.880876 76.744 38.2320
203.247087 76.740 38.3065
203.613298 76.735 38.3827
203.979509 76.730 38.4608
204.345720 76.725 38.5410
204.711931 76.719 38.6232
205.078142 76.712 38.7076
205.444353 76.705 38.7941
205.810564 76.698 38.8825
206.176775 76.691 38.9726
206.542986 76.683 39.0642
206.909196 76.676 39.1569
207.275407 76.668 39.2503
207.641618 76.661 39.3440
208.007829 76.654 39.4377
208.374040 76.647 39.5309
208.740251 76.640 39.6233
209.106462 76.634 39.7146
209.472673 76.628 39.8044
209.838884 76.622 39.8923
210.205095 76.617 39.9782
210.571306 76.612 40.0617
210.937517 76.608 40.1427
211.303728 76.603 40.2208
211.669939 76.599 40.2961
212.036150 76.594 40.3685
212.402361 76.590 40.4381
212.768572 76.585 40.5051
213.134783 76.580 40.5696
213.500994 76.575 40.6321
213.867205 76.569 40.6927
214.233416 76.564 40.7519
214.599627 76.558 40.8100
214.965838 76.552 40.8673
215.332049 76.545 40.9242
215.698260 76.539 40.9808
216.064471 76.533 41.0375
216.430682 76.527 41.0945
216.796893 76.521 41.1519
217.163104 76.515 41.2097
217.529315 76.510 41.2682
217.895526 76.506 41.3273
218.261736 76.501 41.3871
218.627947 76.498 41.4475
218.994158 76.495 41.5087
219.360369 76.493 41.5705
219.726580 76.491 41.6331
220.092791 76.489 41.6964
220.459002 76.488 41.7607
220.825213 76.487 41.8258
221.191424 76.486 41.8920
221.557635 76.485 41.9593
221.923846 76.484 42.0277
222.290057 76.482 42.0975
222.656268 76.481 42.1685
223.022479 76.479 42.2407
223.388690 76.476 42.3141
223.754901 76.473 42.3885
224.121112 76.470 42.4640
224.487323 76.466 42.5402
224.853534 76.461 42.6170
225.219745 76.457 42.6941
225.585956 76.452 42.7712
225.952167 76.446 42.8479
226.318378 76.441 42.9240
226.684589 76.435 42.9989
227.050800 76.430 43.0725
227.417011 76.425 43.1444
227.783222 76.420 43.2144
228.149433 76.415 43.2823
228.515644 76.411 43.3480
228.881855 76.407 43.4114
229.248066 76.403 43.4727
229.614276 76.400 43.5319
229.980487 76.398 43.5894
230.346698 76.396 43.6454
230.712909 76.394 43.7003
231.079120 76.392 43.7545
231.445331 76.391 43.8086
231.811542 76.390 43.8628
232.177753 76.389 43.9177
232.543964 76.388 43.9737
232.910175 76.387 44.0310
233.276386 76.386 44.0900
233.642597 76.385 44.1508
234.008808 76.384 44.2134
234.375019 76.383 44.2778
234.741230 76.382 44.3440
235.107441 76.380 44.4117
235.473652 76.378 44.4809
235.839863 76.376 44.5511
236.206074 76.373 44.6223
236.572285 76.370 44.6940
236.938496 76.368 44.7661
237.304707 76.364 44.8384
237.670918 76.361 44.9106
238.037129 76.358 44.9825
238.403340 76.354 45.0538
238.769551 76.351 45.1245
239.135762 76.347 45.1944
239.501973 76.344 45.2634
239.868184 76.340 45.3314
240.234395 76.337 45.3983
240.600605 76.333 45.4641
240.966816 76.330 45.5289
241.333027 76.327 45.5926
241.699238 76.324 45.6555
242.065449 76.321 45.7176
242.431660 76.319 45.7791
242.797871 76.316 45.8400
243.164082 76.313 45.9006
243.530293 76.311 45.9609
243.896504 76.308 46.0211
244.262715 76.306 46.0812
244.628926 76.303 46.1414
244.995137 76.300 46.2018
245.361348 76.297 46.2625
245.727559 76.295 46.3236
246.093770 76.292 46.3853
246.459981 76.288 46.4477
246.826192 76.285 46.5110
247.192403 76.282 46.5753
247.558614 76.278 46.6408
247.924825 76.275 46.7077
248.291036 76.271 46.7759
248.657247 76.267 46.8456
249.023458 76.264 46.9168
249.389669 76.260 46.9893
249.755880 76.256 47.0633
250.122091 76.253 47.1384
250.488302 76.250 47.2146
250.854513 76.247 47.2917
251.220724 76.244 47.3698
251.586935 76.241 47.4485
251.953145 76.239 47.5280
252.319356 76.237 47.6080
252.685567 76.235 47.6887
253.051778 76.233 47.7700
253.417989 76.231 47.8520
253.784200 76.230 47.9346
254.150411 76.229 48.0181
254.516622 76.227 48.1023
254.882833 76.227 48.1874
255.249044 76.226 48.2734
255.615255 76.225 48.3603
255.981466 76.225 48.4482
256.347677 76.225 48.5369
256.713888 76.225 48.6266
257.080099 76.226 48.7171
257.446310 76.227 48.8085
257.812521 76.228 48.9006
258.178732 76.229 48.9934
258.544943 76.230 49.0868
258.911154 76.232 49.1808
259.277365 76.234 49.2751
259.643576 76.237 49.3696
260.009787 76.239 49.4643
260.375998 76.242 49.5591
260.742209 76.246 49.6537
261.108420 76.250 49.7480
261.474631 76.254 49.8420
261.840842 76.258 49.9354
262.207053 76.263 50.0283
262.573264 76.267 50.1204
262.939474 76.273 50.2118
263.305685 76.278 50.3025
263.671896 76.284 50.3924
264.038107 76.290 50.4816
264.404318 76.296 50.5701
264.770529 76.302 50.6581
265.136740 76.309 50.7457
265.502951 76.315 50.8329
265.869162 76.322 50.9198
266.235373 76.329 51.0066
266.601584 76.336 51.0933
266.967795 76.344 51.1798
267.334006 76.351 51.2663
267.700217 76.359 51.3525
268.066428 76.367 51.4384
268.432639 76.376 51.5237
268.798850 76.384 51.6083
269.165061 76.393 51.6919
269.531272 76.402 51.7742
269.897483 76.411 51.8549
270.263694 76.421 51.9337
270.629905 76.430 52.0103
270.996116 76.440 52.0844
271.362327 76.450 52.1555
271.728538 76.460 52.2235
272.094749 76.471 52.2881
272.460960 76.481 52.3491
272.827171 76.492 52.4061
273.193382 76.503 52.4591
273.559593 76.513 52.5079
273.925804 76.524 52.5523
274.292014 76.535 52.5924
274.658225 76.547 52.6280
275.024436 76.558 52.6592
275.390647 76.569 52.6861
275.756858 76.581 52.7087
276.123069 76.592 52.7272
276.489280 76.604 52.7418
276.855491 76.615 52.7527
277.221702 76.627 52.7601
277.587913 76.638 52.7641
277.954124 76.650 52.7652
278.320335 76.661 52.7634
278.686546 76.672 52.7591
279.052757 76.684 52.7524
279.418968 76.695 52.7437
279.785179 76.706 52.7332
280.151390 76.717 52.7209
280.517601 76.727 52.7072
280.883812 76.738 52.6923
281.250023 76.748 52.6761
281.616234 76.758 52.6591
281.982445 76.767 52.6411
282.348656 76.776 52.6224
282.714867 76.785 52.6030
283.081078 76.793 52.5830
283.447289 76.801 52.5625
283.813500 76.809 52.5414
284.179711 76.816 52.5200
284.545922 76.823 52.4980
284.912133 76.829 52.4757
285.278343 76.835 52.4530
285.644554 76.841 52.4301
286.010765 76.847 52.4067
286.376976 76.853 52.3832
286.743187 76.858 52.3594
287.109398 76.863 52.3355
287.475609 76.868 52.3115
287.841820 76.873 52.2874
288.208031 76.878 52.2634
288.574242 76.883 52.2394
288.940453 76.887 52.2155
289.306664 76.892 52.1918
289.672875 76.897 52.1683
290.039086 76.902 52.1451
290.405297 76.906 52.1223
290.771508 76.911 52.0998
291.137719 76.915 52.0776
291.503930 76.920 52.0559
291.870141 76.924 52.0347
292.236352 76.928 52.0139
292.602563 76.932 51.9936
292.968774 76.936 51.9738
293.334985 76.939 51.9545
293.701196 76.943 51.9357
294.067407 76.946 51.9174
294.433618 76.948 51.8996
294.799829 76.951 51.8823
295.166040 76.953 51.8654
295.532251 76.955 51.8491
295.898462 76.956 51.8333
296.264673 76.958 51.8179
296.630883 76.959 51.8030
296.997094 76.959 51.7885
297.363305 76.960 51.7746
297.729516 76.960 51.7611
298.095727 76.960 51.7482
298.461938 76.960 51.7357
298.828149 76.960 51.7237
299.194360 76.960 51.7123
299.560571 76.960 51.7013
299.926782 76.959 51.6909
300.292993 76.959 51.6809
300.659204 76.959 51.6714
301.025415 76.958 51.6624
301.391626 76.958 51.6536
301.757837 76.958 51.6452
302.124048 76.958 51.6371
302.490259 76.958 51.6290
302.856470 76.959 51.6211
303.222681 76.959 51.6130
303.588892 76.960 51.6049
303.955103 76.961 51.5965
304.321314 76.962 51.5878
304.687525 76.962 51.5787
305.053736 76.963 51.5692
305.419947 76.965 51.5591
305.786158 76.966 51.5486
306.152369 76.967 51.5377
306.518580 76.968 51.5263
306.884791 76.969 51.5145
307.251002 76.970 51.5023
307.617213 76.970 51.4900
307.983423 76.971 51.4775
308.349634 76.972 51.4650
308.715845 76.972 51.4525
309.082056 76.973 51.4401
309.448267 76.973 51.4280
309.814478 76.973 51.4161
310.180689 76.973 51.4045
310.546900 76.974 51.3933
310.913111 76.974 51.3824
311.279322 76.974 51.3719
311.645533 76.973 51.3618
312.011744 76.973 51.3520
312.377955 76.973 51.3425
312.744166 76.973 51.3333
313.110377 76.973 51.3244
313.476588 76.973 51.3157
313.842799 76.973 51.3073
314.209010 76.973 51.2990
314.575221 76.973 51.2909
314.941432 76.973 51.2830
315.307643 76.973 51.2752
315.673854 76.973 51.2676
316.040065 76.973 51.2603
316.406276 76.974 51.2531
316.772487 76.974 51.2461
317.138698 76.974 51.2393
317.504909 76.975 51.2327
317.871120 76.975 51.2264
318.237331 76.976 51.2203
318.603542 76.976 51.2145
318.969752 76.977 51.2089
319.335963 76.977 51.2035
319.702174 76.978 51.1983
320.068385 76.979 51.1934
320.434596 76.979 51.1885
320.800807 76.980 51.1838
321.167018 76.981 51.1791
321.533229 76.981 51.1745
321.899440 76.982 51.1699
322.265651 76.983 51.1652
322.631862 76.983 51.1605
322.998073 76.984 51.1556
323.364284 76.985 51.1506
323.730495 76.985 51.1454
324.096706 76.986 51.1400
324.462917 76.986 51.1345
324.829128 76.987 51.1288
325.195339 76.987 51.1230
325.561550 76.988 51.1169
325.927761 76.988 51.1108
326.293972 76.988 51.1046
326.660183 76.989 51.0984
327.026394 76.989 51.0922
327.392605 76.989 51.0860
327.758816 76.990 51.0799
328.125027 76.990 51.0739
328.491238 76.990 51.0681
328.857449 76.991 51.0624
329.223660 76.991 51.0570
329.589871 76.991 51.0518
329.956082 76.992 51.0469
330.322292 76.992 51.0421
330.688503 76.992 51.0376
331.054714 76.993 51.0332
331.420925 76.993 51.0289
331.787136 76.994 51.0248
332.153347 76.994 51.0206
332.519558 76.995 51.0164
332.885769 76.995 51.0122
333.251980 76.995 51.0077
333.618191 76.996 51.0031
333.984402 76.996 50.9980
334.350613 76.997 50.9926
334.716824 76.997 50.9868
335.083035 76.997 50.9805
335.449246 76.997 50.9737
335.815457 76.998 50.9663
336.181668 76.998 50.9584
336.547879 76.998 50.9499
336.914090 76.998 50.9409
337.280301 76.998 50.9312
337.646512 76.998 50.9211
338.012723 76.998 50.9106
338.378934 76.998 50.8997
338.745145 76.998 50.8884
339.111356 76.998 50.8768
339.477567 76.997 50.8651
339.843778 76.997 50.8532
340.209989 76.997 50.8413
340.576200 76.997 50.8294
340.942411 76.997 50.8177
341.308621 76.997 50.8061
341.674832 76.997 50.7948
342.041043 76.997 50.7838
342.407254 76.997 50.7731
342.773465 76.997 50.7628
343.139676 76.998 50.7528
343.505887 76.998 50.7433
343.872098 76.998 50.7342
344.238309 76.999 50.7255
344.604520 76.999 50.7171
344.970731 77.000 50.7092
345.336942 77.001 50.7016
345.703153 77.001 50.6942
346.069364 77.002 50.6872
346.435575 77.003 50.6805
346.801786 77.004 50.6739
347.167997 77.004 50.6675
347.534208 77.005 50.6612
347.900419 77.006 50.6550
348.266630 77.007 50.6489
348.632841 77.008 50.6428
348.999052 77.009 50.6367
349.365263 77.009 50.6305
349.731474 77.010 50.6242
350.097685 77.011 50.6178
350.463896 77.012 50.6112
350.830107 77.013 50.6044
351.196318 77.013 50.5974
351.562529 77.014 50.5902
351.928740 77.015 50.5827
352.294951 77.016 50.5748
352.661161 77.017 50.5667
353.027372 77.017 50.5582
353.393583 77.018 50.5494
353.759794 77.019 50.5403
354.126005 77.019 50.5307
354.492216 77.020 50.5209
354.858427 77.021 50.5107
355.224638 77.022 50.5003
355.590849 77.022 50.4896
